0,51.18,0.68,914.4,0,2.94,0
0.035,51.18002338,0.68,914.5288168,-4.22958e-07,2.87998169,-0.000125203
0.075,51.1800511,0.68,914.6678696,-4.04492e-07,2.806024074,-0.000122867
0.115,51.18007884,0.68,914.79303,-4.6621e-07,2.738802573,-0.0001207
0.155,51.1801066,0.680000001,914.9052941,-5.78864e-07,2.677866403,-0.000118685
0.195,51.18013436,0.680000001,915.0055952,-7.23021e-07,2.622792143,-0.000116812
0.235,51.18016214,0.680000002,915.0948078,-8.85854e-07,2.573182132,-0.000115067
0.275,51.18018994,0.680000002,915.1737508,-1.05897e-06,2.528662963,-0.000113443
0.315,51.18021774,0.680000003,915.2431913,-1.23697e-06,2.488884056,-0.000111931
0.355,51.18024556,0.680000004,915.3038477,-1.41639e-06,2.453516326,-0.000110522
0.395,51.18027339,0.680000005,915.3563924,-1.59514e-06,2.422250911,-0.000109208
0.435,51.18030123,0.680000006,915.4014545,-1.77195e-06,2.394797982,-0.000107985
0.475,51.18032908,0.680000007,915.4396228,-1.94615e-06,2.370885622,-0.000106845
0.515,51.18035695,0.680000008,915.4714481,-2.1174e-06,2.350258757,-0.000105782
0.555,51.18038482,0.68000001,915.4974451,-2.28563e-06,2.332678164,-0.000104792
0.595,51.18041271,0.680000011,915.5180951,-2.45087e-06,2.31791952,-0.00010387
0.635,51.1804406,0.680000012,915.5338478,-2.61326e-06,2.305772518,-0.00010301
0.675,51.1804685,0.680000014,915.5451231,-2.77298e-06,2.296040028,-0.00010221
0.715,51.18049642,0.680000016,915.5523131,-2.93022e-06,2.288537303,-0.000101464
0.755,51.18052434,0.680000018,915.5557836,-3.08518e-06,2.283091242,-0.000100769
0.795,51.18055227,0.68000002,915.555876,-3.23806e-06,2.279539682,-0.000100121
0.835,51.18058021,0.680000022,915.5529083,-3.38904e-06,2.277730744,-9.95181e-05
0.875,51.18060816,0.680000024,915.5471772,-3.5383e-06,2.277522209,-9.89566e-05
0.915,51.18063612,0.680000026,915.5389588,-9.37439e-06,2.278780932,-0.001418042
0.955,51.18066409,0.680000029,915.5285101,-3.70442e-05,2.281382298,-0.003233625
0.995,51.18069206,0.680000031,915.5160703,-8.24282e-05,2.285209696,-0.004929617
1.035,51.18072005,0.680000034,915.5018618,-0.000141186,2.290154042,-0.006017329
1.075,51.18074804,0.680000036,915.4860912,-0.000180849,2.296113321,-0.003836512
1.115,51.18077604,0.680000039,915.4689502,-0.000186212,2.302992149,-0.001695419
1.155,51.18080404,0.680000042,915.4506169,-0.000165671,2.310701371,0.000297606
1.195,51.18083205,0.680000045,915.4312562,-0.000125877,2.319157684,0.002155412
1.235,51.18086007,0.680000048,915.411021,-7.14509e-05,2.32828328,0.003889911
