#time(s),GeodLatitude(degs),GeodLongitude(degs),GeodAltitude(m),alpha deg,beta(pitch)  deg,gamma(roll) deg
235.9,29.81890249,-47.29331438,39866.27843,147.5987801,46.20544488,45.14587746
236,29.81872196,-47.29711699,39857.64049,147.625843,46.17010558,45.18418782
236.1,29.81854135,-47.30091906,39849.08018,147.6526538,46.13478897,45.22205091
236.2,29.81836067,-47.30472059,39840.59686,147.6794651,46.09974288,45.25996149
236.3,29.81817992,-47.30852159,39832.18993,147.7061401,46.06488421,45.2975978
236.4,29.81799909,-47.31232206,39823.85877,147.7325425,46.03013006,45.33499042
236.5,29.81781818,-47.316122,39815.60275,147.7588071,45.9955627,45.37222575
236.6,29.8176372,-47.31992141,39807.42126,147.7848753,45.96142903,45.40897591
236.7,29.81745614,-47.32372031,39799.31371,147.8104357,45.92772824,45.44535761
236.8,29.81727501,-47.32751868,39791.27947,147.8359895,45.89429488,45.48154963
236.9,29.8170938,-47.33131654,39783.31796,147.8612656,45.86096391,45.51761376
237,29.81691251,-47.33511389,39775.42857,147.8863985,45.82781736,45.55328392
237.1,29.81673115,-47.33891072,39767.6107,147.9113873,45.79485489,45.58891212
237.2,29.81654972,-47.34270705,39759.86376,147.936386,45.76207617,45.6243807
237.3,29.8163682,-47.34650288,39752.18716,147.9609499,45.72939876,45.65948582
237.4,29.81618661,-47.3502982,39744.58029,147.985502,45.69698656,45.69439957
237.5,29.81600495,-47.35409302,39737.0426,148.009907,45.66475711,45.72927039
237.6,29.81582321,-47.35788734,39729.5735,148.0341642,45.63271008,45.76386314
237.7,29.81564139,-47.36168117,39722.17245,148.0581178,45.60084515,45.79817757
237.8,29.81545949,-47.36547451,39714.83888,148.0820769,45.56916199,45.83233086
237.9,29.81527752,-47.36926736,39707.57222,148.1058649,45.53774209,45.86640869
238,29.81509547,-47.37305972,39700.37194,148.1295227,45.5064215,45.90012148
238.1,29.81491334,-47.3768516,39693.23747,148.1528741,45.47528174,45.93367238
238.2,29.81473113,-47.38064299,39686.16826,148.1762067,45.44440417,45.96714696
238.3,29.81454885,-47.38443391,39679.16376,148.199386,45.41370673,46.00034158
238.4,29.81436649,-47.38822434,39672.22343,148.2222777,45.38310755,46.03328779
238.5,29.81418405,-47.39201431,39665.34672,148.2452816,45.35285104,46.06624247
238.6,29.81400154,-47.3958038,39658.53309,148.2678199,45.32277368,46.09868132
238.7,29.81381894,-47.39959282,39651.782,148.2903349,45.29295661,46.13104221
238.8,29.81363627,-47.40338137,39645.09291,148.3126706,45.26339943,46.16308972
238.9,29.81345352,-47.40716946,39638.4653,148.3346931,45.23402035,46.19485547
239,29.81327069,-47.41095708,39631.89862,148.3566895,45.2049004,46.22654222
239.1,29.81308779,-47.41474424,39625.39236,148.378371,45.17595791,46.25782906
239.2,29.81290481,-47.41853095,39618.94599,148.4000247,45.14727384,46.28903624
239.3,29.81272174,-47.42231719,39612.55899,148.4213842,45.11868539,46.31999267
239.4,29.8125386,-47.42610299,39606.23084,148.4428469,45.09043588,46.35083665
239.5,29.81235538,-47.42988833,39599.96103,148.463859,45.06228146,46.38142937
239.6,29.81217208,-47.43367322,39593.74904,148.4849951,45.03438412,46.41182365
239.7,29.81198871,-47.43745766,39587.59436,148.5056795,45.00658141,46.44196624
239.8,29.81180525,-47.44124166,39581.49651,148.5264635,44.97911619,46.47199503
239.9,29.81162172,-47.44502521,39575.455,148.5471047,44.95174508,46.50177163
240,29.8114381,-47.44880832,39569.46934,148.5674244,44.92454886,46.53138105
240.1,29.81125441,-47.452591,39563.53907,148.5877092,44.89760815,46.56079052
240.2,29.81107064,-47.45637323,39557.66371,148.6079814,44.87084176,46.59003227
240.3,29.81088678,-47.46015503,39551.84278,148.62793,44.84424943,46.61910603
240.4,29.81070285,-47.46393639,39546.07581,148.6478649,44.81783091,46.64801159
240.5,29.81051884,-47.46771733,39540.36234,148.6676773,44.79142449,46.67693175
240.6,29.81033475,-47.47149783,39534.7019,148.6873672,44.76503015,46.70563117
240.7,29.81015058,-47.4752779,39529.09401,148.7070424,44.73880918,46.73427969
240.8,29.80996633,-47.47905755,39523.53821,148.7266304,44.71300323,46.76277868
240.9,29.809782,-47.48283678,39518.03405,148.745736,44.68736995,46.79075527
241,29.80959759,-47.48661558,39512.58106,148.7649315,44.66207024,46.81861425
241.1,29.8094131,-47.49039396,39507.17879,148.7837741,44.63702312,46.84615265
241.2,29.80922853,-47.49417192,39501.8268,148.8024424,44.61214777,46.8735208
241.3,29.80904388,-47.49794946,39496.52463,148.8211979,44.58760488,46.9007702
241.4,29.80885915,-47.50172659,39491.27184,148.8394914,44.56315277,46.92764629
241.5,29.80867434,-47.50550331,39486.068,148.8577395,44.53895209,46.95431826
241.6,29.80848945,-47.50927961,39480.91266,148.8758107,44.51492216,46.98093667
241.7,29.80830448,-47.5130555,39475.8054,148.8938351,44.49114308,47.00735038
241.8,29.80811943,-47.51683099,39470.74578,148.9117061,44.46745399,47.03338984
241.9,29.80793429,-47.52060606,39465.73338,148.9293736,44.44401527,47.05945966
242,29.80774908,-47.52438074,39460.76777,148.9470173,44.42074638,47.08535718
242.1,29.80756379,-47.528155,39455.84852,148.9644812,44.39764714,47.11096436
242.2,29.80737841,-47.53192887,39450.97523,148.9819201,44.37471733,47.13651661
242.3,29.80719295,-47.53570234,39446.14746,148.9991781,44.35195675,47.16177807
242.4,29.80700742,-47.53947541,39441.36481,149.0162546,44.32936519,47.18698418
242.5,29.8068218,-47.54324808,39436.62687,149.0331491,44.30694247,47.21201689
242.6,29.8066361,-47.54702035,39431.93324,149.0501467,44.28476841,47.23684251
242.7,29.80645032,-47.55079223,39427.28354,149.0669867,44.26268273,47.26152773
242.8,29.80626446,-47.55456372,39422.67737,149.0834875,44.24076529,47.2861568
242.9,29.80607852,-47.55833481,39418.11436,149.1001155,44.2190159,47.31049371
243,29.80589249,-47.56210552,39413.5941,149.1166104,44.19727455,47.33484128
243.1,29.80570639,-47.56587584,39409.11623,149.1329722,44.17554121,47.35908158
243.2,29.8055202,-47.56964577,39404.68036,149.1493306,44.15389574,47.38329888
243.3,29.80533393,-47.57341531,39400.2861,149.1658152,44.13241787,47.40757733
243.4,29.80514758,-47.57718448,39395.93307,149.1820104,44.1109478,47.43151243
243.5,29.80496115,-47.58095325,39391.6209,149.1981492,44.08972484,47.45535667
243.6,29.80477463,-47.58472165,39387.34921,149.2140488,44.06882847,47.478958
243.7,29.80458804,-47.58848967,39383.11762,149.229761,44.0480989,47.50226568
243.8,29.80440136,-47.59225731,39378.92577,149.2453882,44.02769533,47.52544774
243.9,29.8042146,-47.59602457,39374.7733,149.2608266,44.00745811,47.54833558
244,29.80402776,-47.59979145,39370.65984,149.2762052,43.98746669,47.57113109
244.1,29.80384083,-47.60355797,39366.58504,149.2915498,43.96764121,47.59374993
244.2,29.80365383,-47.6073241,39362.54854,149.3065482,43.94798151,47.61607383
244.3,29.80346674,-47.61108987,39358.54999,149.3215117,43.92848742,47.63822062
244.4,29.80327957,-47.61485526,39354.58904,149.336284,43.90915877,47.66030819
244.5,29.80309231,-47.61862029,39350.66535,149.3510205,43.8899954,47.68221827
244.6,29.80290498,-47.62238495,39346.77857,149.3655649,43.87099716,47.70395065
244.7,29.80271756,-47.62614924,39342.92836,149.3800727,43.85216387,47.72550515
244.8,29.80253006,-47.62991316,39339.11438,149.3945434,43.83349538,47.74699969
244.9,29.80234248,-47.63367672,39335.33631,149.4088206,43.81499154,47.76831597
245,29.80215481,-47.63743992,39331.59379,149.4229312,43.79657281,47.78948803
245.1,29.80196707,-47.64120275,39327.88652,149.4371597,43.77831846,47.81048149
245.2,29.80177923,-47.64496522,39324.21414,149.4510374,43.76022835,47.83141433
245.3,29.80159132,-47.64872734,39320.57634,149.4649036,43.74222301,47.85208435
245.4,29.80140332,-47.65248909,39316.9728,149.4788592,43.72446093,47.87277729
245.5,29.80121525,-47.65625049,39313.40319,149.4924903,43.70678338,47.89320708
245.6,29.80102708,-47.66001153,39309.86719,149.506109,43.68919028,47.91361002
245.7,29.80083884,-47.66377221,39306.36449,149.5196597,43.67183997,47.93379893
245.8,29.80065051,-47.66753254,39302.89477,149.5330411,43.65457387,47.95396071
245.9,29.8004621,-47.67129252,39299.45772,149.5463814,43.63747107,47.97394254
246,29.80027361,-47.67505214,39296.05303,149.5595519,43.62045229,47.99366049
246.1,29.80008503,-47.67881141,39292.6804,149.5728369,43.60359656,48.0134347
246.2,29.79989637,-47.68257034,39289.33953,149.5859515,43.58682466,48.03306307
246.3,29.79970762,-47.68632891,39286.03013,149.5990799,43.57005743,48.05269837
246.4,29.7995188,-47.69008714,39282.7519,149.6120658,43.55329487,48.07222231
246.5,29.79932989,-47.69384502,39279.50456,149.6248809,43.53661601,48.09171854
246.6,29.79914089,-47.69760255,39276.28782,149.6379657,43.52009978,48.11115231
246.7,29.79895182,-47.70135973,39273.10138,149.6507512,43.50358808,48.13047453
246.8,29.79876266,-47.70511658,39269.94496,149.6636497,43.48723883,48.14973408
246.9,29.79857341,-47.70887308,39266.81827,149.6762486,43.470894,48.16876357
247,29.79838408,-47.71262923,39263.72103,149.6889315,43.45479038,48.18781375
247.1,29.79819467,-47.71638505,39260.65295,149.7014708,43.43869105,48.20663367
247.2,29.79800518,-47.72014053,39257.61376,149.713937,43.42283266,48.22547398
247.3,29.7978156,-47.72389566,39254.60318,149.7262018,43.40713616,48.2440141
247.4,29.79762594,-47.72765046,39251.62093,149.7383926,43.39168026,48.26233736
247.5,29.79743619,-47.73140492,39248.66675,149.7503524,43.37646479,48.28056195
247.6,29.79724636,-47.73515904,39245.74036,149.7624225,43.36141074,48.29848569
247.7,29.79705645,-47.73891283,39242.8415,149.7742895,43.34651801,48.3163453
247.8,29.79686645,-47.74266628,39239.96991,149.7859532,43.33178646,48.33414065
247.9,29.79667637,-47.7464194,39237.12533,149.7975986,43.31713724,48.35166961
248,29.7964862,-47.75017219,39234.30751,149.8090399,43.30264901,48.36901554
248.1,29.79629595,-47.75392464,39231.51619,149.8204335,43.28832166,48.38629679
248.2,29.79610562,-47.75767676,39228.75112,149.8318081,43.27407637,48.40342976
248.3,29.7959152,-47.76142855,39226.01205,149.8431344,43.25999177,48.4204978
248.4,29.7957247,-47.76518001,39223.29873,149.8542555,43.24606774,48.4375008
248.5,29.79553412,-47.76893114,39220.61091,149.8653861,43.2321469,48.45427176
248.6,29.79534345,-47.77268194,39217.94836,149.8764384,43.2184651,48.47094229
248.7,29.79515269,-47.77643242,39215.31084,149.8873433,43.20478637,48.48749916
248.8,29.79496185,-47.78018256,39212.69809,149.8981987,43.19126787,48.50399054
248.9,29.79477093,-47.78393238,39210.10989,149.9088769,43.17783095,48.52033291
249,29.79457992,-47.78768188,39207.54599,149.9196618,43.16455408,48.53660955
249.1,29.79438883,-47.79143105,39205.00618,149.9304259,43.15135864,48.55285562
249.2,29.79419766,-47.7951799,39202.4902,149.9408555,43.13824456,48.56883374
249.3,29.7940064,-47.79892842,39199.99784,149.9513911,43.1252903,48.58486449
249.4,29.79381505,-47.80267662,39197.52887,149.9617784,43.11233878,48.60054371
249.5,29.79362362,-47.8064245,39195.08305,149.9721144,43.09954694,48.61639406
249.6,29.79343211,-47.81017206,39192.66017,149.9825558,43.08691468,48.63205938
249.7,29.79324051,-47.8139193,39190.26,149.9926916,43.07428502,48.6474916
249.8,29.79304883,-47.81766622,39187.88232,150.0027755,43.06181481,48.66297599
249.9,29.79285706,-47.82141282,39185.52691,150.0128373,43.04942554,48.67831044
250,29.79266521,-47.8251591,39183.19356,150.0230036,43.03719555,48.69369691
250.1,29.79247327,-47.82890507,39180.88204,150.0328637,43.02496799,48.70873119
250.2,29.79228125,-47.83265072,39178.59215,150.042828,43.01289959,48.72381732
250.3,29.79208914,-47.83639605,39176.32368,150.0526126,43.0009119,48.73887195
250.4,29.79189695,-47.84014106,39174.0764,150.0623743,42.98900488,48.75365741
250.5,29.79170468,-47.84388576,39171.85012,150.0719559,42.97717848,48.7684112
250.6,29.79151231,-47.84763015,39169.64463,150.0816409,42.96551095,48.78321654
250.7,29.79131987,-47.85137422,39167.45972,150.0911759,42.95384563,48.79766916
250.8,29.79112734,-47.85511798,39165.29518,150.1006571,42.94233906,48.81217316
250.9,29.79093472,-47.85886143,39163.15083,150.1101145,42.93091289,48.82664523
251,29.79074202,-47.86260457,39161.02645,150.1195785,42.91948884,48.84112097
251.1,29.79054924,-47.86634739,39158.92184,150.1288921,42.90806691,48.85548149
251.2,29.79035637,-47.87008991,39156.83682,150.1382123,42.8966471,48.86972677
251.3,29.79016341,-47.87383211,39154.77116,150.1475085,42.8853076,48.88393997
251.4,29.78997037,-47.87757401,39152.7247,150.1567806,42.87404836,48.89823998
251.5,29.78977725,-47.88131559,39150.69722,150.1661856,42.86286934,48.9123889
251.6,29.78958404,-47.88505687,39148.68855,150.1752826,42.85169235,48.92642241
251.7,29.78939074,-47.88879784,39146.6985,150.1843553,42.84059552,48.9403047
251.8,29.78919736,-47.89253851,39144.72688,150.1935299,42.82965694,48.95423783
251.9,29.78900389,-47.89627886,39142.77351,150.2023961,42.81872029,48.96805539
252,29.78881034,-47.90001891,39140.8382,150.2113948,42.80786367,48.98184051
252.1,29.78861671,-47.90375866,39138.92078,150.2203377,42.79716512,48.9955573
252.2,29.78842298,-47.9074981,39137.02106,150.2291293,42.78646843,49.00903935
252.3,29.78822918,-47.91123724,39135.13886,150.2378956,42.77585164,49.02248876
252.4,29.78803528,-47.91497607,39133.27402,150.2466368,42.76531472,49.0359055
252.5,29.78784131,-47.9187146,39131.42634,150.2553215,42.75493565,49.0492536
252.6,29.78764724,-47.92245283,39129.59566,150.2640117,42.74455832,49.06248575
252.7,29.7874531,-47.92619076,39127.78181,150.2726452,42.73433874,49.07564911
252.8,29.78725886,-47.92992838,39125.98462,150.2809694,42.72412084,49.08869642
252.9,29.78706454,-47.9336657,39124.2039,150.2894251,42.7139826,49.10171077
253,29.78687014,-47.93740272,39122.43951,150.2978235,42.70400195,49.1146561
253.1,29.78667565,-47.94113945,39120.69126,150.3061646,42.69417882,49.1274132
253.2,29.78648107,-47.94487587,39118.959,150.314322,42.68443519,49.14001797
253.3,29.78628641,-47.94861199,39117.24256,150.3224216,42.67484894,49.15255343
253.4,29.78609167,-47.95234782,39115.5418,150.3304946,42.6653421,49.1649364
253.5,29.78589683,-47.95608334,39113.85653,150.3385094,42.65599252,49.17724988
253.6,29.78570192,-47.95981857,39112.18662,150.3463399,42.64672224,49.1894107
253.7,29.78550691,-47.9635535,39110.53191,150.3541748,42.63745334,49.2014549
253.8,29.78531182,-47.96728813,39108.89225,150.3619511,42.62834157,49.21354861
253.9,29.78511665,-47.97102247,39107.26748,150.3697002,42.61930899,49.22548947
254,29.78492139,-47.97475651,39105.65745,150.3774219,42.61035558,49.23727741
254.1,29.78472604,-47.97849026,39104.06203,150.3849588,42.60148129,49.2490316
254.2,29.78453061,-47.98222371,39102.48105,150.3924996,42.59260826,49.26066892
254.3,29.78433509,-47.98595687,39100.91438,150.3999812,42.58389213,49.27235548
254.4,29.78413949,-47.98968973,39099.36188,150.4074668,42.57517722,49.28380583
254.5,29.7839438,-47.9934223,39097.82339,150.414767,42.56654132,49.29522225
254.6,29.78374803,-47.99715457,39096.29878,150.4223227,42.55806219,49.30668774
254.7,29.78355217,-48.00088655,39094.78791,150.4294412,42.54950643,49.31795312
254.8,29.78335622,-48.00461824,39093.29064,150.436815,42.54110738,49.32914818
254.9,29.78316019,-48.00834964,39091.80684,150.4440031,42.5327872,49.34030912
255,29.78296407,-48.01208074,39090.33635,150.4510371,42.52446814,49.35147221
255.1,29.78276787,-48.01581155,39088.87906,150.4582005,42.51622792,49.36248178
255.2,29.78257158,-48.01954208,39087.43483,150.4653354,42.5080665,49.37333776
255.3,29.78237521,-48.02327231,39086.00351,150.4722842,42.49998387,49.38427884
255.4,29.78217874,-48.02700225,39084.585,150.4792364,42.49190227,49.39510258
255.5,29.7819822,-48.0307319,39083.17914,150.48616,42.48389942,49.40577258
255.6,29.78178556,-48.03446126,39081.78581,150.4930548,42.47597527,49.4165276
255.7,29.78158885,-48.03819033,39080.40489,150.4999209,42.4681298,49.4271288
255.8,29.78139204,-48.04191912,39079.03625,150.5066324,42.46028531,49.43773193
255.9,29.78119515,-48.04564761,39077.67975,150.5134728,42.45251946,49.44818114
256,29.78099817,-48.04937582,39076.33529,150.5201264,42.44483221,49.45859581
256.1,29.78080111,-48.05310373,39075.00272,150.5269086,42.43722354,49.46897591
256.2,29.78060396,-48.05683137,39073.68194,150.5333784,42.4296158,49.47923839
256.3,29.78040673,-48.06055871,39072.37281,150.5399766,42.42208659,49.48958571
256.4,29.78020941,-48.06428577,39071.07523,150.5465456,42.4146359,49.49977888
256.5,29.780012,-48.06801254,39069.78906,150.5531176,42.40718609,49.50985432
256.6,29.77981451,-48.07173902,39068.51419,150.5596277,42.39989234,49.51997803
256.7,29.77961693,-48.07546522,39067.2505,150.5660152,42.39252186,49.52990094
256.8,29.77941926,-48.07919113,39065.99788,150.5723408,42.38530739,49.53987205
256.9,29.77922151,-48.08291676,39064.75621,150.5786691,42.37809374,49.54972531
257,29.77902368,-48.0866421,39063.52538,150.5851256,42.37095848,49.55954368
257.1,29.77882575,-48.09036716,39062.30528,150.591269,42.36382403,49.56936371
257.2,29.77862774,-48.09409194,39061.09578,150.5973825,42.35676792,49.57902924
257.3,29.77842965,-48.09781643,39059.89679,150.6036241,42.34979013,49.58865979
257.4,29.77823146,-48.10154063,39058.70818,150.6097103,42.34281312,49.59829193
257.5,29.7780332,-48.10526456,39057.52986,150.6160499,42.3359919,49.60785244
257.6,29.77783484,-48.1089882,39056.36171,150.6219506,42.32909391,49.6173315
257.7,29.7776364,-48.11271156,39055.20363,150.6281046,42.32235167,49.62673883
257.8,29.77743788,-48.11643463,39054.05551,150.6339777,42.31553267,49.63606468
257.9,29.77723926,-48.12015743,39052.91724,150.6399458,42.30886936,49.64543838
258,29.77704056,-48.12387994,39051.78872,150.6459164,42.30220675,49.6546939
258.1,29.77684178,-48.12760217,39050.66985,150.6518565,42.29562231,49.66391422
258.2,29.77664291,-48.13132412,39049.56053,150.657641,42.28903856,49.67301629
258.3,29.77644395,-48.13504579,39048.46064,150.6633949,42.28253294,49.6820831
258.4,29.7762449,-48.13876717,39047.3701,150.6692764,42.27610543,49.69123431
258.5,29.77604577,-48.14248828,39046.28881,150.6750021,42.26967857,49.7001475
258.6,29.77584656,-48.14620911,39045.21665,150.6805718,42.26325237,49.70906205
258.7,29.77564725,-48.14992965,39044.15354,150.6863942,42.25698164,49.71802423
258.8,29.77544787,-48.15364992,39043.09939,150.6920606,42.25071154,49.72686801
258.9,29.77524839,-48.15736991,39042.05408,150.697571,42.24444207,49.73559337
259,29.77504883,-48.16108962,39041.01753,150.7032087,42.2382506,49.74440303
259.1,29.77484918,-48.16480905,39039.98965,150.7086902,42.23205975,49.75297446
259.2,29.77464944,-48.1685282,39038.97034,150.7141409,42.22594687,49.76163015
259.3,29.77444962,-48.17224707,39037.9595,150.7197187,42.21991196,49.77025031
259.4,29.77424972,-48.17596567,39036.95705,150.7251403,42.21387762,49.77887172
259.5,29.77404972,-48.17968399,39035.9629,150.7305308,42.20792121,49.78733776
259.6,29.77384964,-48.18340203,39034.97695,150.7359232,42.20196536,49.79580501
259.7,29.77364947,-48.18711979,39033.99911,150.7412845,42.19608741,49.80411681
259.8,29.77344922,-48.19083727,39033.02931,150.7466476,42.19021001,49.81254963
259.9,29.77324888,-48.19455448,39032.06744,150.751696,42.18433315,49.82074395
260,29.77304846,-48.19827141,39031.11343,150.7571548,42.17861147,49.8291054
260.1,29.77284794,-48.20198807,39030.16718,150.7621737,42.172813,49.8371453
260.2,29.77264734,-48.20570445,39029.22861,150.7674445,42.16716967,49.84547217
260.3,29.77244666,-48.20942055,39028.29765,150.7725921,42.16144954,49.85347743
260.4,29.77224589,-48.21313638,39027.37419,150.7777081,42.15580723,49.86156679
260.5,29.77204503,-48.21685193,39026.45817,150.7827926,42.15024269,49.86962033
260.6,29.77184408,-48.22056721,39025.5495,150.7878788,42.14467864,49.87755505
260.7,29.77164305,-48.22428221,39024.64809,150.7929666,42.13911509,49.88561077
260.8,29.77144194,-48.22799694,39023.75387,150.7980562,42.13355202,49.89342772
260.9,29.77124073,-48.23171139,39022.86675,150.802989,42.12798944,49.90136568
261,29.77103944,-48.23542557,39021.98666,150.8078901,42.1225046,49.90914779
261.1,29.77083806,-48.23913948,39021.11352,150.8129512,42.11702023,49.9170509
261.2,29.7706366,-48.24285311,39020.24724,150.8178222,42.11161357,49.92479812
261.3,29.77043505,-48.24656646,39019.38775,150.8226947,42.10620737,49.93254636
261.4,29.77023341,-48.25027955,39018.53496,150.8276938,42.10087886,49.94025862
261.5,29.77003169,-48.25399236,39017.68881,150.8324111,42.09547357,49.94788892
261.6,29.76982988,-48.25770489,39016.84922,150.8373798,42.09022317,49.95556618
261.7,29.76962798,-48.26141716,39016.01611,150.8420666,42.084896,49.96304143
261.8,29.769426,-48.26512915,39015.1894,150.8470049,42.07972366,49.97068363
261.9,29.76922393,-48.26884087,39014.36903,150.8516612,42.07447456,49.97812379
262,29.76902177,-48.27255231,39013.55491,150.8562854,42.06930308,49.98564789
262.1,29.76881953,-48.27626349,39012.74698,150.8609111,42.06413201,49.99293285
262.2,29.7686172,-48.27997439,39011.94517,150.8656631,42.05903854,50.00030172
262.3,29.76841479,-48.28368502,39011.14939,150.8703829,42.05402264,50.0077545
262.4,29.76821228,-48.28739538,39010.35959,150.8748207,42.04892998,50.01500515
262.5,29.76800969,-48.29110547,39009.57569,150.8793848,42.04391488,50.0222196
262.6,29.76780702,-48.29481528,39008.79761,150.8840751,42.03897732,50.02939784
262.7,29.76760426,-48.29852483,39008.02531,150.8886082,42.03404015,50.03657696
262.8,29.76740141,-48.3022341,39007.25869,150.892984,42.02910336,50.04375696
262.9,29.76719847,-48.30594311,39006.49771,150.8974861,42.02424408,50.05078059
263,29.76699545,-48.30965184,39005.74229,150.9019894,42.01938517,50.05780506
263.1,29.76679234,-48.3133603,39004.99236,150.9064602,42.01460375,50.06491336
263.2,29.76658915,-48.3170685,39004.24788,150.9107737,42.00982269,50.07190236
263.3,29.76638586,-48.32077642,39003.50876,150.9150884,42.00504199,50.07877205
263.4,29.76618249,-48.32448407,39002.77495,150.9195292,42.00033875,50.08572553
263.5,29.76597904,-48.32819146,39002.0464,150.9238126,41.99563585,50.09255967
263.6,29.7657755,-48.33189857,39001.32303,150.9280972,41.9909333,50.09927443
263.7,29.76557187,-48.33560541,39000.60478,150.9323491,41.98630819,50.10607296
263.8,29.76536815,-48.33931199,38999.8916,150.9366021,41.98168341,50.11287227
263.9,29.76516435,-48.3430183,38999.18343,150.9408225,41.97713603,50.11951495
264,29.76496046,-48.34672433,38998.48021,150.9449192,41.97251192,50.12619562
264.1,29.76475649,-48.3504301,38997.78187,150.9492666,41.96804226,50.13292281
264.2,29.76455243,-48.3541356,38997.08837,150.9533316,41.96349586,50.13944754
264.3,29.76434828,-48.35784083,38996.39964,150.9573638,41.95902683,50.14593577
264.4,29.76414404,-48.3615458,38995.71563,150.9615559,41.95455812,50.15254496
264.5,29.76393972,-48.36525049,38995.03628,150.965715,41.95016675,50.15899739
264.6,29.76373531,-48.36895492,38994.36154,150.9697164,41.94577569,50.16545053
264.7,29.76353082,-48.37265908,38993.69135,150.9737189,41.94138494,50.17190438
264.8,29.76332623,-48.37636297,38993.02566,150.9778472,41.93707151,50.17832166
264.9,29.76312156,-48.38006659,38992.36441,150.9818177,41.93275837,50.18473964
265,29.76291681,-48.38376995,38991.70755,150.9857892,41.92844552,50.19103802
265.1,29.76271197,-48.38747304,38991.05502,150.989603,41.92413296,50.1972168
265.2,29.76250704,-48.39117586,38990.40678,150.9935425,41.9198977,50.20359954
265.3,29.76230202,-48.39487842,38989.76277,150.9974829,41.91566272,50.20974234
265.4,29.76209692,-48.3985807,38989.12295,151.0013902,41.91150501,50.21596878
265.5,29.76189173,-48.40228272,38988.48725,151.0052985,41.90734757,50.22219589
265.6,29.76168646,-48.40598448,38987.85563,151.0090489,41.90319041,50.22830331
265.7,29.76148109,-48.40968597,38987.22804,151.012959,41.89903351,50.23441137
265.8,29.76127564,-48.41338719,38986.60444,151.0166771,41.89495386,50.24048273
265.9,29.76107011,-48.41708814,38985.98476,151.0205549,41.89087446,50.24655471
266,29.76086449,-48.42078883,38985.36896,151.0242748,41.88679533,50.25250695
266.1,29.76065878,-48.42448925,38984.757,151.0279956,41.88271646,50.25845981
266.2,29.76045298,-48.42818941,38984.14883,151.0316831,41.8787148,50.26449628
266.3,29.7602471,-48.4318893,38983.5444,151.0353714,41.87471339,50.27041297
266.4,29.76004113,-48.43558892,38982.94366,151.0391852,41.87078917,50.27629287
266.5,29.75983507,-48.43928828,38982.34656,151.0427164,41.86678826,50.28221077
266.6,29.75962893,-48.44298738,38981.75307,151.046373,41.86286453,50.28797144
266.7,29.7594227,-48.44668621,38981.16313,151.0500305,41.85894104,50.29385311
266.8,29.75921638,-48.45038477,38980.57671,151.0536545,41.85509472,50.29957751
266.9,29.75900998,-48.45408307,38979.99375,151.0571547,41.85117171,50.30533991
267,29.75880349,-48.4577811,38979.41421,151.0607803,41.84732585,50.31106545
267.1,29.75859691,-48.46147887,38978.83806,151.0643724,41.84355714,50.3167541
267.2,29.75839025,-48.46517637,38978.26524,151.0678407,41.83971174,50.32248076
267.3,29.7581835,-48.46887361,38977.69571,151.0714344,41.83594347,50.32805005
267.4,29.75797667,-48.47257058,38977.12943,151.0748698,41.83217543,50.33374036
267.5,29.75776974,-48.47626729,38976.56636,151.0783061,41.82840761,50.33931074
267.6,29.75756273,-48.47996373,38976.00646,151.0818676,41.82471689,50.34484417
267.7,29.75735564,-48.48365991,38975.44969,151.0851464,41.82094951,50.35041562
267.8,29.75714845,-48.48735583,38974.896,151.0885505,41.81725923,50.35582961
267.9,29.75694118,-48.49105148,38974.34536,151.0920798,41.81364603,50.36144763
268,29.75673382,-48.49474687,38973.79772,151.0954854,41.80995617,50.36686266
268.1,29.75652638,-48.49844199,38973.25305,151.0988572,41.80634338,50.3723612
268.2,29.75631885,-48.50213685,38972.71131,151.1022297,41.8027308,50.37773974
268.3,29.75611123,-48.50583145,38972.17245,151.1056029,41.79911843,50.38311877
268.4,29.75590353,-48.50952578,38971.63645,151.1088178,41.79550625,50.38837776
268.5,29.75569574,-48.51321985,38971.10325,151.1121579,41.79197113,50.3938408
268.6,29.75548786,-48.51691365,38970.57284,151.1153742,41.78835936,50.39898022
268.7,29.7552799,-48.5206072,38970.04515,151.1187156,41.78482463,50.40432368
268.8,29.75507185,-48.52430047,38969.52017,151.1220232,41.78136694,50.40963009
268.9,29.75486371,-48.52799349,38968.99786,151.1252069,41.77783259,50.41485395
269,29.75465548,-48.53168624,38968.47817,151.1285159,41.77437527,50.42004073
269.1,29.75444717,-48.53537873,38967.96107,151.1318254,41.77091814,50.42522797
269.2,29.75423878,-48.53907096,38967.44653,151.1349765,41.76746119,50.43041567
269.3,29.75403029,-48.54276292,38966.93451,151.1381283,41.76400443,50.43548323
269.4,29.75382172,-48.54645462,38966.42498,151.1411216,41.76054786,50.44067186
269.5,29.75361306,-48.55014606,38965.9179,151.1443991,41.75716827,50.44570274
269.6,29.75340432,-48.55383723,38965.41324,151.1475181,41.75378887,50.45085468
269.7,29.75319549,-48.55752815,38964.91096,151.1506378,41.75040964,50.45588645
269.8,29.75298657,-48.5612188,38964.41104,151.1537233,41.74710739,50.46088104
269.9,29.75277756,-48.56490918,38963.91344,151.1568094,41.7438053,50.46587607
270,29.75256847,-48.56859931,38963.41812,151.1598961,41.74050339,50.47087152
